QUEST_UNUSED_20150317_000190	Check the suspicious location	의심스런 장소 확인				
QUEST_UNUSED_20150317_000191	I confirm the suspected location	의심스런 장소를 확인한다				
QUEST_UNUSED_20150317_000192	During the time limit, the defense of the region	제한 시간동안 지역방어				
QUEST_UNUSED_20150317_000193	I survive from between the time limit pounce monster attacks	제한 시간동안 덤벼드는 몬스터의 공격에서 살아 남는다				
QUEST_UNUSED_20150317_000194	Soul a conversation with unknown name	이름 모를 영혼과 대화				
QUEST_UNUSED_20150317_000195	I will talk to the soul of unknown name	이름 모를 영혼과 대화한다				
QUEST_UNUSED_20150317_000196	Monster extermination to block the road	길을 가로막는 몬스터 처치				
QUEST_UNUSED_20150317_000197	Please to defeat the BiteRegina	비테레지나를 처치하세요				
QUEST_UNUSED_20150317_000198	BiteRegina treatment	비테레지나 처치				
QUEST_UNUSED_20150317_000201	Werewolf extermination	웨어울프 처치				
QUEST_UNUSED_20150317_000206	Suddenly appeared Swordsman master and conversation	갑자기 나타난 소드맨 마스터와 대화				
QUEST_UNUSED_20150317_000207	Somehow, Swordsman master noticed in front of you. Please try to divide the conversation.	어떤 이유인지 당신의 앞에 소드맨 마스터가 나타났습니다. 대화를 나누어 보세요.				
QUEST_UNUSED_20150317_000208	Hidden Quest occurrence	히든 퀘스트 발생				
QUEST_UNUSED_20150317_000209	Hidden Quest has occurred. Please Kill Banshee behind closed doors of Katyn.	숨겨진 퀘스트가 발생하였습니다. 카틴의 밀실에서 밴시를 사냥하세요.				
QUEST_UNUSED_20150317_000210	The test of Swordsman master I was successfully completed. Please go find a Klaipeda of Swordsman master.	소드맨 마스터의 시험을 무사히 마쳤습니다. 클라페다에 있는 소드맨 마스터를 찾아 가세요.				
QUEST_UNUSED_20150317_000211	Banshee treatment	밴시 처치				
QUEST_UNUSED_20150317_000212	Suddenly appeared wizard master and conversation	갑자기 나타난 위저드 마스터와 대화				
QUEST_UNUSED_20150317_000213	Somehow, wizard master noticed in front of you. And try the conversation {nl}	어떤 이유인지 당신의 앞에 위저드 마스터가 나타났습니다. 대화를 나누어 보세요.{nl}				
QUEST_UNUSED_20150317_000214	Find Wizard Master	위저드 마스터 찾아가기				
QUEST_UNUSED_20150317_000215	The test of the wizard master I was successfully completed. Please go find a Klaipeda of wizard master.	위저드 마스터의 시험을 무사히 마쳤습니다. 클라페다에 있는 위저드 마스터를 찾아 가세요.				
QUEST_UNUSED_20150317_000216	Archer Master and conversation that appeared suddenly	갑자기 나타난 아처 마스터와 대화				
QUEST_UNUSED_20150317_000217	Somehow, I noticed bow master in front of you. Please try to divide the conversation.	어떤 이유인지 당신의 앞에 아처 마스터가 나타났습니다. 대화를 나누어 보세요.				
QUEST_UNUSED_20150317_000218	Hidden Quest has occurred. Please Kill Banshee behind closed doors of Katyn	숨겨진 퀘스트가 발생하였습니다. 카틴의 밀실에서 밴시를 사냥하세요				
QUEST_UNUSED_20150317_000219	The master of the test of Archer I was successfully completed. Please go to find a Klaipeda of Archer of master.	아처 마스터의 시험을 무사히 마쳤습니다. 클라페다에 있는 아처 마스터를 찾아 가세요.				
QUEST_UNUSED_20150317_000220	Cleric master and conversation that appeared suddenly	갑자기 나타난 클레릭 마스터와 대화				
QUEST_UNUSED_20150317_000221	Somehow, Cleric master noticed in front of you. Please try to divide the conversation.	어떤 이유인지 당신의 앞에 클레릭 마스터가 나타났습니다. 대화를 나누어 보세요.				
QUEST_UNUSED_20150317_000222	The test of Cleric master I was successfully completed. Please go find a Klaipeda of Cleric master.	클레릭 마스터의 시험을 무사히 마쳤습니다. 클라페다에 있는 클레릭 마스터를 찾아 가세요.				
QUEST_UNUSED_20150317_000223	Gatekeeper owl is good to examine you. Please try to talk to the gatekeeper owl.	문지기 부엉이는 당신을 알아보고 반가워 합니다. 문지기 부엉이와 대화해 보세요.				
QUEST_UNUSED_20150317_000224	Available from the Cathedral of marble sculpture	대성당에서 대리석 조각 구하기				
QUEST_UNUSED_20150317_000225	Words owl image of gatekeeper owl, and you want to give back to the sculptor Tesla. Please obtain a sculpture of marble from the Cathedral of monsters.	문지기 부엉이의 말로는 부엉이 조각상들은 조각가 테슬라에게 은혜를 갚고 싶어 한다고 합니다. 대성당의 몬스터에게서 대리석 조각을 구하세요.				
QUEST_UNUSED_20150317_000226	Marble sculpture transferred to the sculptor Tesla	조각가 테슬라에게 대리석 조각 전달				
QUEST_UNUSED_20150323_000228	荑⑤젅 怨좉컻 吏꾩엯	쿨레 고개 진입				
QUEST_UNUSED_20150323_000229	荑⑤젅 怨좉컻濡??대룞?쒕떎	쿨레 고개로 이동한다				
QUEST_UNUSED_20150323_000230	荑⑤젅 怨좉컻?낃뎄???⑹뼱???덈뒗 ?좉낏?⑥쓣 紐⑥븘?⑤떎	쿨레 고개입구에 흩어져 있는 유골함을 모아온다				
QUEST_UNUSED_20150323_000231	?由ъ꽍 議곌컖??異⑸텇??援ы븳 寃?媛숈뒿?덈떎. 鍮꾩뿉? 怨꾧끝???덈뒗 議곌컖媛 ?뚯뒳?쇱뿉寃??由ъ꽍 議곌컖??媛?몃떎 二쇱꽭??	대리석 조각을 충분히 구한 것 같습니다. 비에타 계곡에 있는 조각가 테슬라에게 대리석 조각을 가져다 주세요.				
QUEST_UNUSED_20150714_000235		조금 전에 찾아 주셨던 금속판.. 아무래도 다음 부분이 남아있는 것 같아요.{nl}제가 찾은 금속판은 그게 전부인데 큰일이네요.{nl}				알뤼다
QUEST_UNUSED_20150714_000236		아, 아직 한 군데 찾지 않은 곳이 있기는 해요. 폴사스 가도요.{nl}그곳에 한 번 가 봐 주실래요?				알뤼다
QUEST_UNUSED_20150714_000237		잘 되어 가시나요?{nl}제 생각이 좀 짧았나봐요.				알뤼다
QUEST_UNUSED_20150714_000239		저 우드 고블린들을 통솔하는 거대한 녀석이 있습니다.				수도사 제프리
QUEST_UNUSED_20150714_000240		이곳 라우키에 저습지에서 자이언트 우드 고블린을 마주치실지도 모르겠군요.{nl}그렇게 된다면 힘드시더라도 꼭 없애 주시기 바랍니다.				수도사 제프리
QUEST_UNUSED_20150714_000241		덩치에 걸맞게 강력한 녀석입니다. 부디 조심하십시오.				수도사 제프리
QUEST_UNUSED_20150714_000242		녀석을 상대하시게 된다면 다른 사람들과 함께 하시기를 권합니다.				수도사 제프리
QUEST_UNUSED_20150714_000243		그 녀석을 쓰러뜨리실 줄이야...{nl}계시자님은 제 생각 이상으로 강력한 분이시로군요. 감탄했습니다.{nl}계시자님과 함께라면 수도원 수복도 손쉬운 일이 아닐까 싶군요.				수도사 제프리
QUEST_UNUSED_20150714_000245		불 붙이는 중				
QUEST_UNUSED_20150714_000247		열쇠 설치 중				
QUEST_UNUSED_20150714_000248		미끼를 놓는 중				
QUEST_UNUSED_20150714_000256		보이지 않으면 읽을 수 없어				
QUEST_UNUSED_20150714_000257		불발탄 처리(1)				
QUEST_UNUSED_20150714_000260		불발탄 처리(2)				
QUEST_UNUSED_20150714_000262		마지막 한 마리까지				
QUEST_UNUSED_20150714_000263		노력해 보겠다고 한다.				
QUEST_UNUSED_20150714_000264		아무래도 그런 녀석은 벅차다며 거절한다.				
QUEST_UNUSED_20150714_000265		불발탄 처리				
QUEST_UNUSED_20150714_000266		전초구역을 돌아다니가 불발탄을 발견했습니다. 불발탄을 처리할 방법에 대해서 새퍼 마스터에게 물어보세요.				
QUEST_UNUSED_20150714_000267		새퍼 마스터가 불발탄 처리 방법에 대해서 설명하려고 합니다. 새퍼 마스터와 대화하세요.				
QUEST_UNUSED_20150714_000271		제프리는 아직 신경쓸 것이 남은 것 같습니다. 그와 대화해 보세요.				
QUEST_UNUSED_20150714_000272		자이언트 우드 고블린 처치				
QUEST_UNUSED_20150714_000273		제프리는 우드 고블린들을 통솔하는 자이언트 우드 고블린을 처치해 줄 것을 부탁했습니다.				
QUEST_UNUSED_20150714_000274		자이언트 우드 고블린을 처치하는 데에 성공했습니다. 제프리에게 그 사실을 알려 주세요.				
QUEST_UNUSED_20150717_000275		큐폴 메일레				
QUEST_UNUSED_20150717_000276		쉬트리가일라				
QUEST_UNUSED_20150717_000278		상자에 든 것은..?				
QUEST_UNUSED_20150717_000279		몬스터가 품은 부대 인장				
QUEST_UNUSED_20150717_000282		석화 탐지기 살펴 보기				
QUEST_UNUSED_20150717_000287		연안요새 한 구석에 있는 보물상자가 수상합니다. 다가가 열어 보세요.				
QUEST_UNUSED_20150729_000309		네. 어쨌든 그 부품들을 들고 가서 고장난 탐지기들을 수리 해 주세요.{nl}저희가 할 일입니다만, 자리를 비울 수 없는 것을 이해해 주십시오.				왕국군 레티아
QUEST_UNUSED_20150729_000324		신호				
QUEST_UNUSED_20150729_000325		꼬리자르기(1)				
QUEST_UNUSED_20150729_000326		꼬리자르기(2)				
QUEST_UNUSED_20150729_000327		꼬리자르기(3)				
QUEST_UNUSED_20150729_000328		막다른 곳에 다다라(1)				
QUEST_UNUSED_20150729_000329		막다른 곳에 다다라(2)				
QUEST_UNUSED_20150729_000330		막다른 곳에 다다라(3)				
QUEST_UNUSED_20150729_000332		고상한 마군주				
QUEST_UNUSED_20150729_000333		나를 찾는 여정(1)				
QUEST_UNUSED_20150729_000334		나를 찾는 여정(2)				
QUEST_UNUSED_20150729_000335		나를 찾는 여정(3)				
QUEST_UNUSED_20150729_000336		나를 찾는 여정(4)				
QUEST_UNUSED_20150729_000337		나를 찾는 여정(5)				
QUEST_UNUSED_20150729_000338		나를 찾는 여정(6)				
QUEST_UNUSED_20150729_000339		끝없는 거래(1)				
QUEST_UNUSED_20150729_000340		끝없는 거래(2)				
QUEST_UNUSED_20150729_000341		끝없는 거래(3)				
QUEST_UNUSED_20150729_000342		끝없는 거래(4)				
QUEST_UNUSED_20150729_000343		르귄가의 비극(1)				
QUEST_UNUSED_20150729_000344		르귄가의 비극(2)				
QUEST_UNUSED_20150729_000345		르귄가의 비극(3)				
QUEST_UNUSED_20150803_000350		단원 이르만타스와 대화				
QUEST_UNUSED_20150803_000351		단원 그라지나와 찾기				
QUEST_UNUSED_20150803_000352		주변에서 누군가 부르는 소리가 들립니다.				
QUEST_UNUSED_20150803_000353		단원 그라지나와 대화				
QUEST_UNUSED_20150803_000354		이르만타스에게 물품 전달				
QUEST_UNUSED_20150803_000355		단원 알리나 찾아가기				
QUEST_UNUSED_20150803_000356		단원 알리나와 대화				
QUEST_UNUSED_20150908_000360		보관소의 흔적조차 남아 있지 않습니다				
QUEST_UNUSED_20150908_000361		길을 막고있는 몬스터 처치!				
QUEST_UNUSED_20150908_000362		길을 막고있는 몬스터 처치 완료!				
QUEST_UNUSED_20150908_000363		영혼의 유골함을 약한 부엉이 조각상에게 전달했습니다				
QUEST_UNUSED_20150908_000368		죽은 병사의 명복을 빌어 주었습니다!				
QUEST_UNUSED_20150908_000369		헤쳐보는 중				
QUEST_UNUSED_20150908_000374		부서진 부엉이 조각상 주변에 몬스터가 나타났습니다!				
QUEST_UNUSED_20150908_000375		불을 붙이려 하자 갑자기 몬스터들이 몰려들었습니다!{nl}일단 이들을 물리치고 다시 불을 붙여 봅시다!				
QUEST_UNUSED_20150908_000376		부엉이 조각상을 잘 태워 주었습니다!				
QUEST_UNUSED_20150908_000378		조각상 더미의 불을 지키면서 몬스터를 모두 처치하세요!				
QUEST_UNUSED_20150918_000389		수집상의 컬렉션				
QUEST_UNUSED_20150918_000390		길을 막고있는 몬스터를 처치하세요!				
QUEST_UNUSED_20150918_000391		길을 막고있는 몬스터를 모두 처치했습니다!				
QUEST_UNUSED_20150918_000392		수집상과 대화				
QUEST_UNUSED_20150918_000393		수집품 획득				
QUEST_UNUSED_20151001_000394		여신의 꿈을 꾼 계시자이십니까.{nl}저는 샤울레이와 클라페다를 담당하고 있는 기사단장, 우스카입니다.{nl}				기사단장 우스카
QUEST_UNUSED_20151001_000395		지금의 왕국은 모든 희망을 잃었습니다. {nl}다시 일어설 의지조차 꺾인 채로.. 여신의 이름만 부르짖고 있습니다.{nl}				기사단장 우스카
QUEST_UNUSED_20151001_000396		솔직히 저는 계시자 여러분들을 희망적으로만 바라볼 수는 없습니다.{nl}한 도시를 짊어지고 있는 책임자이기에.. {nl}				기사단장 우스카
QUEST_UNUSED_20151001_000397		다시 절망을 겪을 순 없는 것 아니겠습니까.				기사단장 우스카
QUEST_UNUSED_20151001_000405		이상하게 내가 요새로 들어가려고 하면 갑자기 살아 움직이면서 막아서더라고.{nl}소란 피우지 않고서 우리 힘으로 제압하는 건 무리야.				도굴꾼 아만다
QUEST_UNUSED_20151001_000409		나에게 로그의 가르침을 받으러 온거야?{nl}마침 잘 됐어.{nl}너의 로그로서의 실력을 검증하면서 내 문제도 해결할 수 있는 일석이조의 일이 있거든.{nl}				로그 마스터
QUEST_UNUSED_20151001_000410		스카우트 마스터와 나는 한때는 둘도 없는 친구였지만 지금은 조금 어색해져서 말이야.{nl}뭔가 선물이라도 주면서 관계를 회복해보고 싶은데.. 내가 직접가는 건 역시 너무 눈에 띄거든.{nl}니가 대신해서 몰래 선물 좀 전해주고 오지 않겠어?				로그 마스터
